nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
"""Rebelové web: re3elove.cz""";4185;0.07;0;0.0
Moravské zemské hnutí;3842;0.06;0;0.0
Jasný Signál Nezávislých;4937;0.08;0;0.0
VÝZVA 2025;6338;0.11;0;0.0
SMS – Stát Má Sloužit;2881;0.05;0;0.0
Svoboda a př. demokracie (SPD);437611;7.78;15;7.5
Česká suverenita soc. dem.;10263;0.18;0;0.0
PŘÍSAHA občanské hnutí;60503;1.07;0;0.0
Levice;3318;0.05;0;0.0
Česká republika na 1. místě!;12455;0.22;0;0.0
SPOLU (ODS, KDU-ČSL, TOP 09);1313346;23.36;52;26.0
ŠVÝCARSKÁ DEMOKRACIE;12097;0.21;0;0.0
Urza.cz: Nechceme vaše hlasy;282;0.0;0;0.0
Hnutí občanů a podnikatelů;3718;0.06;0;0.0
Hnutí Generace;25176;0.44;0;0.0
Česká pirátská strana;504537;8.97;18;9.0
Koruna Česká (monarch.strana);7313;0.13;0;0.0
Volt Česko;3639;0.06;0;0.0
Volte Pr.Blok www.cibulka.net;429;0.0;0;0.0
Motoristé sobě;380601;6.77;13;6.5
Balbínova poetická strana;612;0.01;0;0.0
ANO 2011;1940507;34.51;80;40.0
STAROSTOVÉ A NEZÁVISLÍ;631512;11.23;22;11.0
Hnutí Kruh;2209;0.03;0;0.0
Stačilo!;242031;4.3;0;0.0
Voluntia;7375;0.13;0;0.0
