nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
"""Rebelové web: re3elove.cz""";703;0.11;0;0
Jasný Signál Nezávislých;339;0.05;0;0
VÝZVA 2025;491;0.07;0;0
SMS – Stát Má Sloužit;210;0.03;0;0
Svoboda a př. demokracie (SPD);33292;5.23;0;1
Česká suverenita soc. dem.;709;0.11;0;0
PŘÍSAHA občanské hnutí;4561;0.71;0;0
Levice;764;0.12;0;0
Česká republika na 1. místě!;820;0.12;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);216098;33.97;0;9
ŠVÝCARSKÁ DEMOKRACIE;1372;0.21;0;0
Urza.cz: Nechceme vaše hlasy;282;0.04;0;0
Hnutí občanů a podnikatelů;161;0.02;0;0
Hnutí Generace;2527;0.39;0;0
Česká pirátská strana;107442;16.89;0;4
Koruna Česká (monarch.strana);1179;0.18;0;0
Volt Česko;614;0.09;0;0
Volte Pr.Blok www.cibulka.net;429;0.06;0;0
Motoristé sobě;32791;5.15;0;1
Balbínova poetická strana;612;0.09;0;0
ANO 2011;126170;19.83;0;5
STAROSTOVÉ A NEZÁVISLÍ;85260;13.4;0;3
Hnutí Kruh;771;0.12;0;0
Stačilo!;17461;2.74;0;0
Voluntia;984;0.15;0;0
