nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
"""Rebelové web: re3elove.cz""";678;0.19;0;0
Jasný Signál Nezávislých;238;0.06;0;0
VÝZVA 2025;365;0.1;0;0
SMS – Stát Má Sloužit;135;0.03;0;0
Svoboda a př. demokracie (SPD);27650;7.93;0;1
Česká suverenita soc. dem.;706;0.2;0;0
PŘÍSAHA občanské hnutí;4052;1.16;0;0
Levice;202;0.05;0;0
Česká republika na 1. místě!;872;0.25;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);82278;23.61;0;3
ŠVÝCARSKÁ DEMOKRACIE;924;0.26;0;0
Hnutí občanů a podnikatelů;194;0.05;0;0
Hnutí Generace;2154;0.61;0;0
Česká pirátská strana;26467;7.59;0;1
Koruna Česká (monarch.strana);624;0.17;0;0
Volt Česko;191;0.05;0;0
Motoristé sobě;24535;7.04;0;1
ANO 2011;121501;34.87;0;5
STAROSTOVÉ A NEZÁVISLÍ;37512;10.76;0;1
Stačilo!;16717;4.79;0;0
Voluntia;352;0.1;0;0
