nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
Moravské zemské hnutí;1828;0.27;0;0
Jasný Signál Nezávislých;522;0.07;0;0
VÝZVA 2025;682;0.1;0;0
SMS – Stát Má Sloužit;299;0.04;0;0
Svoboda a př. demokracie (SPD);50344;7.54;0;2
Česká suverenita soc. dem.;996;0.14;0;0
PŘÍSAHA občanské hnutí;8992;1.34;0;0
Levice;397;0.05;0;0
Česká republika na 1. místě!;1235;0.18;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);181892;27.24;0;7
ŠVÝCARSKÁ DEMOKRACIE;1476;0.22;0;0
Hnutí občanů a podnikatelů;230;0.03;0;0
Hnutí Generace;2631;0.39;0;0
Česká pirátská strana;63119;9.45;0;2
Koruna Česká (monarch.strana);876;0.13;0;0
Volt Česko;380;0.05;0;0
Motoristé sobě;40952;6.13;0;1
ANO 2011;215596;32.29;0;9
STAROSTOVÉ A NEZÁVISLÍ;64307;9.63;0;3
Hnutí Kruh;473;0.07;0;0
Stačilo!;29513;4.42;0;0
Voluntia;882;0.13;0;0
