nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
Jasný Signál Nezávislých;264;0.19;0;0
VÝZVA 2025;255;0.18;0;0
SMS – Stát Má Sloužit;82;0.06;0;0
Svoboda a př. demokracie (SPD);13837;10.21;0;0
Česká suverenita soc. dem.;202;0.14;0;0
PŘÍSAHA občanské hnutí;1414;1.04;0;0
Levice;52;0.03;0;0
Česká republika na 1. místě!;403;0.29;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);20871;15.4;0;1
ŠVÝCARSKÁ DEMOKRACIE;405;0.29;0;0
Hnutí občanů a podnikatelů;102;0.07;0;0
Hnutí Generace;611;0.45;0;0
Česká pirátská strana;8801;6.49;0;0
Volt Česko;140;0.1;0;0
Motoristé sobě;9868;7.28;0;0
ANO 2011;57555;42.49;0;3
STAROSTOVÉ A NEZÁVISLÍ;14828;10.94;0;0
Stačilo!;5548;4.09;0;0
Voluntia;201;0.14;0;0
