nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
Jasný Signál Nezávislých;261;0.09;0;0
VÝZVA 2025;657;0.22;0;0
SMS – Stát Má Sloužit;134;0.04;0;0
Svoboda a př. demokracie (SPD);21099;7.32;0;1
Česká suverenita soc. dem.;730;0.25;0;0
PŘÍSAHA občanské hnutí;3477;1.2;0;0
Levice;122;0.04;0;0
Česká republika na 1. místě!;623;0.21;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);67037;23.28;0;3
Hnutí občanů a podnikatelů;315;0.1;0;0
Hnutí Generace;1430;0.49;0;0
Česká pirátská strana;20373;7.07;0;1
Volt Česko;161;0.05;0;0
Motoristé sobě;19588;6.8;0;1
ANO 2011;103972;36.11;0;4
STAROSTOVÉ A NEZÁVISLÍ;33976;11.8;0;1
Stačilo!;13537;4.7;0;0
Voluntia;430;0.14;0;0
