nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
Jasný Signál Nezávislých;246;0.08;0;0
VÝZVA 2025;410;0.13;0;0
SMS – Stát Má Sloužit;158;0.05;0;0
Svoboda a př. demokracie (SPD);23404;7.75;0;1
Česká suverenita soc. dem.;636;0.21;0;0
PŘÍSAHA občanské hnutí;3278;1.08;0;0
Levice;143;0.04;0;0
Česká republika na 1. místě!;945;0.31;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);71268;23.6;0;3
Hnutí občanů a podnikatelů;419;0.13;0;0
Hnutí Generace;1346;0.44;0;0
Česká pirátská strana;24333;8.05;0;1
Koruna Česká (monarch.strana);678;0.22;0;0
Volt Česko;145;0.04;0;0
Motoristé sobě;22981;7.61;0;1
ANO 2011;101557;33.63;0;4
STAROSTOVÉ A NEZÁVISLÍ;36872;12.21;0;1
Stačilo!;12724;4.21;0;0
Voluntia;381;0.12;0;0
