nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
"""Rebelové web: re3elove.cz""";610;0.26;0;0
Jasný Signál Nezávislých;167;0.07;0;0
VÝZVA 2025;345;0.14;0;0
SMS – Stát Má Sloužit;95;0.04;0;0
Svoboda a př. demokracie (SPD);19914;8.65;0;0
Česká suverenita soc. dem.;361;0.15;0;0
PŘÍSAHA občanské hnutí;2233;0.97;0;0
Levice;123;0.05;0;0
Česká republika na 1. místě!;633;0.27;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);41567;18.06;0;1
Hnutí občanů a podnikatelů;312;0.13;0;0
Hnutí Generace;994;0.43;0;0
Česká pirátská strana;18891;8.2;0;0
Volt Česko;209;0.09;0;0
Motoristé sobě;16933;7.35;0;0
ANO 2011;79181;34.4;0;3
STAROSTOVÉ A NEZÁVISLÍ;37609;16.34;0;2
Stačilo!;9620;4.18;0;0
Voluntia;335;0.14;0;0
