nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
"""Rebelové web: re3elove.cz""";866;0.13;0;0
Moravské zemské hnutí;809;0.12;0;0
Jasný Signál Nezávislých;526;0.08;0;0
VÝZVA 2025;501;0.07;0;0
SMS – Stát Má Sloužit;373;0.05;0;0
Svoboda a př. demokracie (SPD);50707;8.09;0;2
Česká suverenita soc. dem.;1427;0.22;0;0
PŘÍSAHA občanské hnutí;6044;0.96;0;0
Levice;400;0.06;0;0
Česká republika na 1. místě!;1333;0.21;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);112649;17.98;0;4
ŠVÝCARSKÁ DEMOKRACIE;1593;0.25;0;0
Hnutí občanů a podnikatelů;379;0.06;0;0
Hnutí Generace;2709;0.43;0;0
Česká pirátská strana;45022;7.18;0;2
Koruna Česká (monarch.strana);662;0.1;0;0
Volt Česko;259;0.04;0;0
Motoristé sobě;40261;6.42;0;1
ANO 2011;272073;43.42;0;11
STAROSTOVÉ A NEZÁVISLÍ;52457;8.37;0;2
Stačilo!;34597;5.52;0;0
Voluntia;822;0.13;0;0
