nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
Moravské zemské hnutí;645;0.18;0;0
Jasný Signál Nezávislých;229;0.06;0;0
VÝZVA 2025;325;0.09;0;0
SMS – Stát Má Sloužit;209;0.06;0;0
Svoboda a př. demokracie (SPD);32084;9.43;0;1
Česká suverenita soc. dem.;693;0.2;0;0
PŘÍSAHA občanské hnutí;4029;1.18;0;0
Levice;121;0.03;0;0
Česká republika na 1. místě!;806;0.23;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);68520;20.14;0;3
ŠVÝCARSKÁ DEMOKRACIE;889;0.26;0;0
Hnutí občanů a podnikatelů;262;0.07;0;0
Hnutí Generace;1297;0.38;0;0
Česká pirátská strana;24942;7.33;0;1
Koruna Česká (monarch.strana);785;0.23;0;0
Volt Česko;179;0.05;0;0
Motoristé sobě;22586;6.64;0;1
ANO 2011;131683;38.72;0;6
STAROSTOVÉ A NEZÁVISLÍ;31830;9.36;0;1
Stačilo!;17575;5.16;0;0
Voluntia;370;0.1;0;0
