nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
Jasný Signál Nezávislých;429;0.15;0;0
VÝZVA 2025;458;0.16;0;0
SMS – Stát Má Sloužit;228;0.07;0;0
Svoboda a př. demokracie (SPD);21938;7.68;0;1
Česká suverenita soc. dem.;552;0.19;0;0
PŘÍSAHA občanské hnutí;3338;1.16;0;0
Levice;128;0.04;0;0
Česká republika na 1. místě!;691;0.24;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);67422;23.62;0;3
ŠVÝCARSKÁ DEMOKRACIE;751;0.26;0;0
Hnutí občanů a podnikatelů;173;0.06;0;0
Hnutí Generace;1265;0.44;0;0
Česká pirátská strana;22015;7.71;0;1
Volt Česko;240;0.08;0;0
Motoristé sobě;22155;7.76;0;1
ANO 2011;98797;34.61;0;4
STAROSTOVÉ A NEZÁVISLÍ;31535;11.05;0;1
Stačilo!;12885;4.51;0;0
Voluntia;378;0.13;0;0
