nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
Jasný Signál Nezávislých;468;0.15;0;0
VÝZVA 2025;235;0.07;0;0
SMS – Stát Má Sloužit;176;0.05;0;0
Svoboda a př. demokracie (SPD);26908;8.88;0;1
Česká suverenita soc. dem.;644;0.21;0;0
PŘÍSAHA občanské hnutí;3085;1.01;0;0
Levice;148;0.04;0;0
Česká republika na 1. místě!;710;0.23;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);63598;20.99;0;3
ŠVÝCARSKÁ DEMOKRACIE;936;0.3;0;0
Hnutí občanů a podnikatelů;133;0.04;0;0
Hnutí Generace;1157;0.38;0;0
Česká pirátská strana;23582;7.78;0;1
Koruna Česká (monarch.strana);775;0.25;0;0
Volt Česko;166;0.05;0;0
Motoristé sobě;21701;7.16;0;1
ANO 2011;113063;37.31;0;5
STAROSTOVÉ A NEZÁVISLÍ;32179;10.62;0;1
Stačilo!;12932;4.26;0;0
Voluntia;390;0.12;0;0
