nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
"""Rebelové web: re3elove.cz""";1328;0.17;0;0
Jasný Signál Nezávislých;556;0.07;0;0
VÝZVA 2025;870;0.11;0;0
SMS – Stát Má Sloužit;354;0.04;0;0
Svoboda a př. demokracie (SPD);53242;7.06;0;2
Česká suverenita soc. dem.;1310;0.17;0;0
PŘÍSAHA občanské hnutí;7969;1.05;0;0
Levice;454;0.06;0;0
Česká republika na 1. místě!;1643;0.21;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);183391;24.32;0;7
ŠVÝCARSKÁ DEMOKRACIE;1788;0.23;0;0
Hnutí občanů a podnikatelů;499;0.06;0;0
Hnutí Generace;4184;0.55;0;0
Česká pirátská strana;68571;9.09;0;2
Koruna Česká (monarch.strana);1262;0.16;0;0
Volt Česko;565;0.07;0;0
Motoristé sobě;58574;7.76;0;2
ANO 2011;234681;31.12;0;9
STAROSTOVÉ A NEZÁVISLÍ;103451;13.72;0;4
Hnutí Kruh;965;0.12;0;0
Stačilo!;27385;3.63;0;0
Voluntia;974;0.12;0;0
