nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
Jasný Signál Nezávislých;359;0.09;0;0
VÝZVA 2025;485;0.12;0;0
SMS – Stát Má Sloužit;198;0.05;0;0
Svoboda a př. demokracie (SPD);35408;9.13;0;1
Česká suverenita soc. dem.;737;0.19;0;0
PŘÍSAHA občanské hnutí;4479;1.15;0;0
Levice;157;0.04;0;0
Česká republika na 1. místě!;1049;0.27;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);59706;15.4;0;2
ŠVÝCARSKÁ DEMOKRACIE;1033;0.26;0;0
Hnutí občanů a podnikatelů;402;0.1;0;0
Hnutí Generace;1574;0.4;0;0
Česká pirátská strana;27012;6.96;0;1
Volt Česko;281;0.07;0;0
Motoristé sobě;26324;6.79;0;1
ANO 2011;173864;44.85;0;7
STAROSTOVÉ A NEZÁVISLÍ;37252;9.61;0;1
Stačilo!;16748;4.32;0;0
Voluntia;534;0.13;0;0
