nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
"""Rebelové web: re3elove.cz""";13;0.04;0;0.0
Moravské zemské hnutí;8;0.02;0;0.0
Jasný Signál Nezávislých;4;0.01;0;0.0
VÝZVA 2025;13;0.04;0;0.0
SMS – Stát Má Sloužit;5;0.01;0;0.0
Svoboda a př. demokracie (SPD);572;2.04;0;0.0
Česká suverenita soc. dem.;9;0.03;0;0.0
PŘÍSAHA občanské hnutí;80;0.28;0;0.0
Levice;69;0.24;0;0.0
Česká republika na 1. místě!;21;0.07;0;0.0
SPOLU (ODS, KDU-ČSL, TOP 09);10972;39.26;0;0.0
ŠVÝCARSKÁ DEMOKRACIE;9;0.03;0;0.0
Urza.cz: Nechceme vaše hlasy;2;0.0;0;0.0
Hnutí občanů a podnikatelů;1;0.0;0;0.0
Hnutí Generace;97;0.34;0;0.0
Česká pirátská strana;7893;28.24;0;0.0
Koruna Česká (monarch.strana);23;0.08;0;0.0
Volt Česko;66;0.23;0;0.0
Volte Pr.Blok www.cibulka.net;1;0.0;0;0.0
Motoristé sobě;650;2.32;0;0.0
Balbínova poetická strana;4;0.01;0;0.0
ANO 2011;1104;3.95;0;0.0
STAROSTOVÉ A NEZÁVISLÍ;6003;21.48;0;0.0
Hnutí Kruh;14;0.05;0;0.0
Stačilo!;292;1.04;0;0.0
Voluntia;20;0.07;0;0.0
