nazev_strany;hlasy_celkem;hlasy_procenta;mandaty_pocet;mandaty_procenta
Moravské zemské hnutí;560;0.17;0;0
Jasný Signál Nezávislých;333;0.1;0;0
VÝZVA 2025;259;0.08;0;0
SMS – Stát Má Sloužit;230;0.07;0;0
Svoboda a př. demokracie (SPD);27784;8.74;0;1
Česká suverenita soc. dem.;560;0.17;0;0
PŘÍSAHA občanské hnutí;3552;1.11;0;0
Levice;107;0.03;0;0
Česká republika na 1. místě!;692;0.21;0;0
SPOLU (ODS, KDU-ČSL, TOP 09);77049;24.24;0;3
ŠVÝCARSKÁ DEMOKRACIE;930;0.29;0;0
Hnutí občanů a podnikatelů;137;0.04;0;0
Hnutí Generace;1297;0.4;0;0
Česká pirátská strana;23967;7.54;0;1
Koruna Česká (monarch.strana);472;0.14;0;0
Volt Česko;109;0.03;0;0
Motoristé sobě;21352;6.71;0;1
ANO 2011;110814;34.87;0;5
STAROSTOVÉ A NEZÁVISLÍ;32444;10.2;0;1
Stačilo!;14789;4.65;0;0
Voluntia;342;0.1;0;0
